AMZN,Amazon.com Inc,348.02,Consumer Discretionary
CMCSA,Comcast A Corp,158.01,Consumer Discretionary
DIS,The Walt Disney Company,158.58,Consumer Discretionary
HD,Home Depot,163.67,Consumer Discretionary
MCD,McDonald's Corp.,105.9,Consumer Discretionary
NKE,Nike,93.88,Consumer Discretionary
SBUX,Starbucks Corp,83.13,Consumer Discretionary
CVS,CVS Health,103.17,Consumer Staples
KHC,Kraft Heinz Co,109.12,Consumer Staples
KO,The Coca Cola Company,195.85,Consumer Staples
MO,Altria Group Inc,136.37,Consumer Staples
PEP,PepsiCo Inc.,152.99,Consumer Staples
PG,Procter & Gamble,226.34,Consumer Staples
PM,Philip Morris International,158.79,Consumer Staples
WBA,Walgreens Boots Alliance,88.09,Consumer Staples
WMT,Wal-Mart Stores,230.07,Consumer Staples
CVX,Chevron Corp.,197.1,Energy
SLB,Schlumberger Ltd.,97.76,Energy
XOM,Exxon Mobil Corp.,390.15,Energy
BAC,Bank of America Corp,135.24,Financials
C,Citigroup Inc.,120.51,Financials
JPM,JPMorgan Chase & Co.,220.07,Financials
WFC,Wells Fargo,236.84,Financials
ABBV,AbbVie,102.49,Health Care
AMGN,Amgen Inc,117.23,Health Care
BMY,Bristol-Myers Squibb,123.3,Health Care
GILD,Gilead Sciences,114.18,Health Care
JNJ,Johnson & Johnson,337.34,Health Care
MDT,Medtronic plc,121.97,Health Care
MRK,Merck & Co.,163.76,Health Care
PFE,Pfizer Inc.,217.49,Health Care
GE,General Electric,291.87,Industrials
HON,Honeywell Int'l Inc.,89.03,Industrials
MMM,3M Company,106.24,Industrials
UPS,United Parcel Service,95.08,Industrials
UTX,United Technologies,84.81,Industrials
BA,Boeing Company,80.87,Industrials
AAPL,Apple Inc.,523.26,Information Technology
CSCO,Cisco Systems,144.45,Information Technology
FB,Facebook,333.8,Information Technology
GOOGL,Alphabet Inc Class A,486.75,Information Technology
IBM,International Bus. Machines,146.27,Information Technology
INTC,Intel Corp.,155.68,Information Technology
MA,Mastercard Inc.,95.43,Information Technology
MSFT,Microsoft Corp.,403.87,Information Technology
ORCL,Oracle Corp.,167.09,Information Technology
V,Visa Inc.,176.66,Information Technology
QCOM,QUALCOMM Inc.,76.93,Information Technology
T,AT&T Inc,265.32,Telecommunications Services
VZ,Verizon Communications,229.33,Telecommunications Services
